,Unnamed: 0,url,region,province,locality,property_type,property_subtype,price,number_rooms,living_area,kitchen,furnished,fireplace,terrace,terrace_area,garden,garden_area,surface_land,number_facades,swimming_pool,building_state
7483,7483,https://www.immoweb.be/en/classified/apartment/for-sale/middelkerke%20westende/8434/10032718,Flanders,West Flanders,Middelkerke Westende,APARTMENT,APARTMENT,239000.0,3.0,110.0,HYPER_EQUIPPED,0,0,1,0.0,0,0.0,UNKNOWN,2,0,
7484,7484,https://www.immoweb.be/en/classified/villa/for-sale/wavre%20bierges/1301/10679126,Wallonie,Walloon Brabant,Wavre Bierges,HOUSE,VILLA,650000.0,4.0,245.0,INSTALLED,0,0,1,40.0,1,1965.0,1965,4,0,GOOD
7485,7485,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/bornem/2880/10679113,Flanders,Antwerp,Bornem,HOUSE_GROUP,HOUSE_GROUP,,0.0,207.7073648685428,NOT_INSTALLED,0,0,0,0.0,0,0.0,UNKNOWN,1,0,
7486,7486,https://www.immoweb.be/en/classified/apartment/for-sale/middelkerke%20westende/8434/10679110,Flanders,West Flanders,Middelkerke Westende,APARTMENT,APARTMENT,220000.0,1.0,65.0,NOT_INSTALLED,0,0,0,0.0,0,0.0,,1,0,
7487,7487,https://www.immoweb.be/en/classified/flat-studio/for-sale/middelkerke%20westende/8434/10605301,Flanders,West Flanders,Middelkerke Westende,APARTMENT,FLAT_STUDIO,119000.0,0.0,37.0,NOT_INSTALLED,0,0,0,0.0,0,0.0,,1,0,
7488,7488,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/aarschot/3200/10679108,Flanders,Flemish Brabant,Aarschot,HOUSE,MIXED_USE_BUILDING,248000.0,1.0,163.0,INSTALLED,0,0,0,0.0,0,0.0,0,2,0,GOOD
7489,7489,https://www.immoweb.be/en/classified/house/for-sale/namur/5020/10679105,Wallonie,Namur,Namur,HOUSE,HOUSE,349000.0,3.0,170.0,USA_HYPER_EQUIPPED,0,0,1,20.0,0,0.0,575,4,1,AS_NEW
7490,7490,https://www.immoweb.be/en/classified/house/for-sale/ninove/9400/10679104,Flanders,East Flanders,Ninove,HOUSE,HOUSE,169000.0,2.0,207.7073648685428,NOT_INSTALLED,0,0,1,0.0,0,0.0,170,2,0,GOOD
7491,7491,https://www.immoweb.be/en/classified/house/for-sale/pecq/7740/10679103,Wallonie,Hainaut,Pecq,HOUSE,HOUSE,189000.0,2.0,207.7073648685428,INSTALLED,0,0,1,0.0,0,0.0,0,2,0,GOOD
7492,7492,https://www.immoweb.be/en/classified/villa/for-sale/estaimpuis/7730/10679102,Wallonie,Hainaut,Estaimpuis,HOUSE,VILLA,319000.0,3.0,120.0,INSTALLED,0,0,1,20.0,1,427.0,550,4,0,GOOD
7493,7493,https://www.immoweb.be/en/classified/penthouse/for-sale/li%C3%A8ge/4020/10679101,Wallonie,Liège,Liège,APARTMENT,PENTHOUSE,375000.0,3.0,214.0,NOT_INSTALLED,0,0,0,0.0,0,0.0,,2,0,TO_BE_DONE_UP
7494,7494,https://www.immoweb.be/en/classified/house/for-sale/herzele%20%28ressegem%29/9550/10679099,Flanders,East Flanders,Herzele (Ressegem),HOUSE,HOUSE,399000.0,3.0,328.0,HYPER_EQUIPPED,0,0,1,156.0,1,662.0,909,3,0,GOOD
7495,7495,https://www.immoweb.be/en/classified/house/for-sale/ninove%20voorde/9400/10679098,Flanders,East Flanders,Ninove Voorde,HOUSE,HOUSE,395000.0,5.0,297.0,HYPER_EQUIPPED,0,0,1,90.0,1,603.0,1446,3,0,GOOD
