locality,latitude,longitude
Villers-la-Ville,47.5477,6.46369
LIEGE,50.6450944,5.5736112
Noiseux,50.2982859,5.3724637
ANTHEIT,50.5512026,5.2358517
Wortegem-Petegem,50.8485315,3.5375547
Ternat,47.9058525,5.1266052
Lebbeke,51.0004013,4.1307711
Dendermonde,51.0312293,4.098112
Holsbeek,50.9217453,4.7557427
Quievrain,50.4048739,3.6829049
Bomal (Ramillies),50.6681389,4.8735246
Machelen (vlaams-brabant),50.9015206,4.4467845
Lievegem,51.1266908,3.5884951
Oud-Heverlee (Blanden),50.8278376,4.7181551
BERCHEUX,49.9020838,5.5365589
Remicourt,48.9511285,4.8758011
Watermael-Boitsfort,50.7981063,4.4176441
Vielsalm,50.2842154,5.9162783
Gembloux,50.5597273,4.6943126
Mamer,49.6266028,6.0229288
Nord-Est (Bruxelles),40.9509085,9.4958766
SCHAERBEEK,50.8676041,4.3737121
Bois-D'Haine,50.5023427,4.2156931
Westmalle,51.2970123,4.6933094
Olloy-sur-Viroin,50.0726831,4.607218
Frasnes-lez-Gosselies,50.5376477,4.4501525
Gozee,50.3332279,4.3515595
Molenbeek-St-Jean,50.8545959,4.338636
Keerbergen,51.0037524,4.6290719
Berlare,51.0301606,4.011347
Westende,51.1587721,2.7683368
Verlaine,50.6075114,5.3184439
Tohogne (Durbuy),50.3810361,5.481405
Zaventem Nossegem,50.8806901,4.5029559
Herent,50.9124734,4.6517148
Neupre,50.5431751,5.4901079
Genappe Bousval,50.6164197,4.5086646
Sint-Niklaas,51.1646685,4.1395124
Bernissart Harchies,50.4794445,3.6936
Verviers Petit-Rechain,50.6135424,5.8332027
Duffel,51.0957176,4.5061988
Antwerpen Borgerhout,51.2128453,4.4462406
LONGUEVILLE,50.7318957,1.8791461
BONLEZ,50.7020848,4.6895756
Overijse,50.7701622,4.5351806
COURT-SAINT-ÉTIENNE,50.6443208,4.5685766
BIEZ,50.7267076,4.7033973
DION-LE-MONT,50.6977135,4.6596906
Chaumont-Gistoux,50.6839808,4.6974182
La Hulpe,50.7313729,4.4893987
Diepenbeek,50.9078485,5.4200307
Verviers,50.59324,5.867828
Bassenge,50.7583596,5.6094772
Merelbeke,50.9957562,3.7456742
Hoegaarden,50.7879102,4.8809683
Ghent,51.0538286,3.7250121
Walhain,50.6180106,4.6953383
Fernelmont,50.5542257,4.9973659
Bertem,50.8659846,4.6306262
DION-LE-VAL,50.715963,4.6615912
Libin,49.9809464,5.2569017
Waregem,50.8868222,3.4323622
Mouscron,50.7436672,3.2142729
La Louvière Houdeng-Aimeries,50.4827327,4.1495773
Ieper,50.8516968,2.8914737
Wielsbeke,50.9114075,3.3604037
Zottegem,50.8694602,3.8092452
Mol,41.684672,14.595614
Retie,51.2675862,5.0843883
Geel,51.1610826,4.9903187
Heusden-Zolder,51.0233485,5.2750485
Diest,50.9845665,5.0528735
Sint-Joost-ten-Node,50.8508197,4.3691634
Ramillies Mont-Saint-André,50.6550272,4.8635811
Aische-en-refail,50.5992743,4.8355112
Tremelo,50.9919047,4.7040582
Boortmeerbeek,50.9782859,4.5758005
Courcelles,48.3732096,6.0376277
Houdeng-Goegnies,50.4880853,4.1574414
Jodoigne,50.724179,4.8679997
Ottignies-Louvain-la-Neuve,50.6654216,4.5674107
Sint-Agatha-Berchem,50.8649231,4.2946734
Wemmel,50.9080203,4.3056416
Antwerpen,51.2211097,4.3997081
Kampenhout,50.9492441,4.5711631
Oud-Heverlee Haasrode,50.8309839,4.7270448
Lokeren,51.1044488,3.9898689
Floreffe,50.4366874,4.7600394
Auderghem,50.8171712,4.4270852
Beauvechain,50.7808981,4.7717304
Fosses-la-Ville,50.3959512,4.6978935
MALONNE,50.4382517,4.7966661
Mettet,50.3212094,4.6584949
FRAIRE,50.2613846,4.5081639
LOYERS,50.4615162,4.9537227
Jemeppe-sur-Sambre,50.4629947,4.6545987
Namur Saint-Servais,50.4778694,4.8452444
Jette,50.8759585,4.3245702
Flobecq,50.7554999,3.7313238
Wondelgem,51.0886195,3.7123555
Seneffe,50.5292555,4.2566988
Chaudfontaine,50.5847922,5.6469688
GOZEE,50.3332279,4.3515595
BREENDONK,51.0424768,4.3244863
Beveren Melsele,51.2211394,4.2821446
PUURS-SINT-AMANDS,51.066411,4.2812346
Wéris,50.3266395,5.5307553
SCHAFFEN,51.0005768,5.0832217
Lembeek,50.7135392,4.2229681
Bachte-Maria-Leerne,51.0038237,3.5624453
FLÉMALLE,50.5994478,5.4699616
Maarkedal,50.7973072,3.642779
Borgerhout,51.2128453,4.4462406
Haaltert,50.8873933,3.99043
Rotselaar,50.9514713,4.7094054
Tenneville,50.0995825,5.4974652
Neufchâteau,48.3553014,5.6948571
Seraing Ougrée,50.591146,5.5439611
Saint-hubert,49.222747,6.3331945
PERONNES-LEZ-BINCHE,50.4328765,4.158959
THUMAIDE-BELOEIL,50.5404302,3.6304916
Couillet,50.391219,4.468631
Huldenberg,50.7892736,4.5833958
Zoersel,51.2624772,4.6921639
Willebroek Blaasveld,51.0565194,4.3723517
Egenhoven,50.8615433,4.6593904
Brussels,50.8465573,4.351697
Herstal Vottem,50.672893,5.5697617
Esneux Tilff,50.5695672,5.5843967
Hannut,50.6724649,5.0779916
Oupeye,50.7091889,5.6450671
Bever,50.7164481,3.943147
Sint-Lievens-Houtem,50.9204857,3.8589196
Oostakker,51.1001986,3.7644128
Oosterzele,50.9456388,3.8032713
Sint-Pieters-Leeuw,50.7811835,4.2452186
Ramsel,52.5141672,7.3777486
Schelle,51.1245635,4.3361875
Niel,51.1098649,4.3303396
Kieldrecht,51.2888268,4.1758418
Heusden,51.6888859,5.165507
Buggenhout,51.0113101,4.1927964
Mons,50.4549568,3.951958
La Louviere,50.479487,4.1852682
Binche,50.4103004,4.165163
Rixensart Genval,50.7220137,4.5029938
Crisnée,50.715885,5.397318
COUTISSE,50.4636595,5.1169603
Saint-Gilles,49.2801594,3.6756348
Donceel,50.6478971,5.3199408
Aalter,51.083894,3.4485192
Middelkerke,51.183317,2.806352
Vleteren,50.7533476,2.6456516
Knokke,51.3464863,3.2876314
Wuustwezel,51.38525,4.5651743
Blankenberge,51.3170028,3.133658
Verviers Polleur,50.5399885,5.8787388
WÉPION,50.4212957,4.8633768
Aubange,49.5671953,5.8044993
Halanzy,49.5590364,5.7422467
Habay-la-Neuve,49.730978,5.6528207
Virton,49.5605149,5.5196466
Apach,49.4591762,6.3743525
Thonne-la-Long,49.5622474,5.4258429
JEMEPPE,50.6180868,5.4997184
Villers-le-Bouillet,50.5753715,5.2607066
Soignies,50.579203,4.0685604
Ferrières Werbomont,50.3800099,5.686798
SCLAYN,50.4897139,5.0284735
MONS-LEZ-LIÈGE,50.6224546,5.4600597
Xhoris,50.443983,5.602069
HANEFFE,50.6386942,5.3191175
Oupeye Haccourt,50.7339784,5.6667674
Aubange Halanzy,49.5590364,5.7422467
Vilvoorde Koningslo,50.9140818,4.3840319
Gavere,50.9292335,3.6614192
La Louvière Haine-Saint-Pierre,50.4547557,4.2000181
CLAVIER-STATION,50.4289012,5.3260569
Braine-le-Château,50.6808817,4.266671
Oud-Heverlee Sint-Joris-Weert,50.8032485,4.6524453
LONZEE,50.5533536,4.7273547
ESSENBEEK,50.7203058,4.2587478
Ciney,50.2964911,5.1008664
Eupen,50.6305665,6.0312717
OISQUERCQ,50.6700726,4.2167874
Olen,51.1438611,4.8597257
Bois-de-Lessines,50.6953023,3.8856306
Philippeville,50.196268,4.5436078
Jalhay,50.5592528,5.9647526
BONNERT,49.7107729,5.8190143
Kayl,49.4861302,6.041472
Montignies-sur-Sambre,50.4006804,4.4803675
Châtelet,48.8587782,2.3474106
Tessenderlo,51.0681628,5.0893974
Oordegem,50.9574043,3.90209
SAINT-GEORGES-SUR-MEUSE,50.6000654,5.3584259
SAINT-GEORGES,50.3583949,2.0874312
SINT-AGATHA-BERCHEM,50.8649231,4.2946734
Schepdaal,50.8348548,4.1919739
Bertrix,49.8546564,5.2529266
OTHÉE,50.7159281,5.4680939
Diksmuide,51.0333408,2.8647185
Mariakerke,51.0726885,3.6750846
Wijtschate,50.7856902,2.8826178
Onkerzele,50.7820091,3.9109582
san pedro del pinatar,37.8353328,-0.7916121
Ertvelde,51.1793505,3.7471789
Orihuela-Costa,37.9237214,-0.7453376
Oedelem,51.1690329,3.3388064
Russeignies,50.7447633,3.5309528
LIBRAMONT-CHEVIGNY,49.9499099,5.4370892
Lennik,50.8085632,4.1648626
Huise,50.8988246,3.5907777
Braives,50.6300711,5.1435257
Desselgem,50.8866327,3.3497336
Borgloon,50.8024529,5.3435704
VEZIN,50.4966018,5.0114611
Bousval,50.6164197,4.5086646
Beyne-Heusay,50.6220566,5.6534141
Beyne-Heusay Queuedu-Bois,49.73126,3.64987
Berchem,50.8649231,4.2946734
SINT-AMANDS,51.0560497,4.201114
SINAAI,51.15689,4.04172
Colfontaine,50.4056635,3.8513958
Mont-St-Guibert,50.6365628,4.6127019
Chalandri,38.0215202,23.7984139
Marilles,50.7072943,4.9529173
Herseaux,50.722638,3.2340757
Sint-Eloois-Vijve (Waregem),50.9059283,3.4038085
Noorderwijk,51.141115,4.8402651
Bouffioulx,50.390213,4.5151961
Monceau-sur-Sambre,50.4170168,4.382402
Gistel,51.1542785,2.961541
Kapellen,51.3324502,4.4305838
MALDEREN,51.0198436,4.2437819
WARNANT-DREYE,50.5957014,5.2215442
Flémalle Mons-lez-Liège,50.6224546,5.4600597
WALHAIN,50.6180106,4.6953383
Berloz,50.6978415,5.2140163
Mechelen-Zuid,50.9948982,4.4681026
Anthisnes,50.481662,5.5225261
Nassogne,50.1287359,5.3418985
Antwerpen Hoboken,51.1794946,4.3617847
Machelen,50.9015206,4.4467845
Sambreville,50.4495194,4.6043769
Charleroi-Marchienne-au-Pont,50.4089708,4.4023404
Frameries,50.4096511,3.8933015
Mouscron Herseaux,50.722638,3.2340757
Bailleul,50.7396668,2.7349286
Wandre,50.6702136,5.6598274
TILFF,50.5695672,5.5843967
Koekelberg,50.8606042,4.3315503
Corroy-le-Grand,50.6617107,4.6747213
Héron,50.5508203,5.0971783
WALSHOUTEM,50.7210409,5.0882575
Mons Ghlin,50.4760502,3.903746
Lommel,51.2305657,5.3076895
Reet,51.1017566,4.4129446
Tubize,50.69302,4.204696
VISE,50.7347797,5.6936397
Nandrin,50.5162261,5.3992564
Chiny,35.000074,104.999927
Hulshout,51.0749541,4.7967947
Lessines,50.7123036,3.8301131
Leuven Heverlee,50.8645908,4.6937736
Paal,51.3534316,4.1072473
Rumes Taintignies,50.549906,3.3410768
Florennes,50.2514227,4.6030187
Bruxelles2,50.8465573,4.351697
Tournai Templeuve,50.6449107,3.2831228
Péruwelz,50.5332377,3.563667
Tielt,50.9999648,3.3414263
Grandrieu,44.7841483,3.6341118
DURBUY,50.3524116,5.456248
Kelem,41.7057446,33.0347729
Templeuve,50.5326276,3.1740541
Forest,41.5329762,-79.2640912
's Gravenwezel,51.2624856,4.5556038
Strée,50.2766332,4.2980462
Houyet Celles,50.2312617,5.0058339
Aalst Erembodegem,50.92009,4.0587947
Zaventem,50.8806207,4.4730008
SOUGNÉ-REMOUCHAMPS,50.4947283,5.7081119
NEDERBRAKEL,50.8030596,3.7647859
Leuze-En-Hainaut,50.597156,3.6273938
Musson,49.5580794,5.705881
Ekeren,51.2781955,4.4209857
Nivelles Baulers,50.6122598,4.3531816
Spa,50.4920654,5.8627569
Herk-de-Stad,50.9222911,5.1884302
Sainte-Ode,50.0166761,5.5595141
Horebeke,50.8348628,3.6920346
Veurne,51.0709569,2.6548505
Stekene,51.2104744,4.0240413
ROCOURT,48.1075871,5.7431208
Antwerpen Merksem,51.2438894,4.4397179
Gingelom,50.7515348,5.1324098
Peruwelz,50.5332377,3.563667
Kortenberg,50.8953581,4.5656834
Ottignies-louvain-la-neuve,50.6654216,4.5674107
Dworp,50.7303901,4.2985231
Oud-Heverlee,50.8376275,4.6629253
Lubbeek Linden,50.895349,4.7672872
Blégny Saive,50.6526283,5.6819662
Tintigny,49.6820986,5.5185152
Koksijde,51.1092282,2.6352757
Presles,48.8769135,-0.781373
Viersel,51.187272,4.6503063
SINT-TRUIDEN,50.8269478,5.2034249
Laarne,51.0406809,3.8599035
Heers,50.7472468,5.304934
Haillot,50.4405961,5.1491871
Marcinelle,50.3977245,4.4442531
SOLIÈRES,50.4852183,5.1812182
Vance,36.3747423,-78.4140945
Neufchateau,48.3553014,5.6948571
Ougrée,50.591146,5.5439611
La Louvière Strépy-Bracquegnies,50.474474,4.1207031
Visé,50.7347797,5.6936397
Bissegem,50.8227711,3.2285861
Wichelen,51.0020843,3.9806438
Saint-Hubert,49.222747,6.3331945
Bouillon - Bellevaux,49.8402245,5.1102147
Fléron,50.6168354,5.6832219
Peronnez-Lez-Binche,50.41155,4.16469
Braine l'Alleud,50.6828722,4.3692706
SAINT-GILLES,49.2801594,3.6756348
Meerhout,51.1317433,5.0772388
HERSTAL,50.6650412,5.629981
COURT-SAINT-ETIENNE,50.6443208,4.5685766
Zulte,50.9400485,3.4753055
WAKKEN,50.930782,3.3978669
Oudenburg,51.2015647,3.0063239
Saint-Josse-ten-Noode,50.8508197,4.3691634
Sint-Gillis-Waas,51.2179895,4.1286101
Ternat Sint-Katherina-Lombeek,50.8726659,4.1535568
Lochristi,51.0979284,3.8355614
Assenede,51.2275942,3.7532864
Loppem,51.1557488,3.1955523
Boussu,50.4274741,3.7942686
ZELEM,50.9788799,5.1026566
La Louvière Saint-Vaast,50.4522661,4.1604745
MEERBEEK,50.8822337,4.5857181
CHAPON-SERAING,50.609673,5.2734472
SINT-NIKLAAS,51.1646685,4.1395124
LAMORTEAU,49.5262083,5.4795124
GENTBRUGGE,51.0447236,3.7588813
Sint-Lenaarts,51.3473203,4.6787433
Halen,50.9382257,5.10738
Couthuin,50.5330937,5.1322912
BORSU,50.3887582,5.3231388
Jabbeke,51.1823049,3.0934604
Ramillies,50.2060873,3.2610415
Dilbeek Sint-Martens-Bodegem,50.8628418,4.215204
POTTES,50.7314164,3.4050325
Itegem,51.1030959,4.7294471
Berlaar,51.1030373,4.6640388
Wervik,50.7782244,3.0439698
Oostnieuwkerke,50.9404849,3.0592908
Ruiselede,51.0630592,3.3787806
Otegem,50.8085335,3.4218217
Gent Mariakerke,51.0726885,3.6750846
WARZÉE,50.4487876,5.427096
De Haan,51.2671138,3.0408376
Herve,50.63916,5.7931012
Oud-Turnhout,51.3178319,4.9817086
Marousi,38.0546653,23.8081533
Zeebrugge,51.3312211,3.207561
De Pinte,50.9924205,3.6495958
Braine-le-Comte,50.6107057,4.1360702
SINT-AMANDSBERG,51.061875,3.7488657
Hamois Schaltin,50.3579006,5.1237159
Bassilly,50.6724203,3.9360497
Hoeselt,50.8500788,5.4865309
GRANDMETZ,50.6219421,3.6332056
VAUX-ET-BORSET,50.6131812,5.2317617
Havelange,50.3870946,5.23958
Charleroi Jumet,50.4421323,4.4350275
Vosselaar,51.3129153,4.8878026
Taviers,50.6170592,4.9318579
Meslin-l'Evêque,50.6485784,3.8480962
NECHIN,50.6669028,3.2689867
Kruisem,50.9085536,3.5648916
Hever,51.1934653,0.1104521
Lille Poederlee,51.2267185,4.8359528
Tubize Clabecq,50.6896854,4.221802
Braine-le-ChÃteau,50.6808817,4.266671
Ittre,50.6501961,4.2637077
Harmignies,50.4076446,4.0177899
Jemeppe (-sur-meuse),50.6180868,5.4997184
Jauchelette,50.6867069,4.8435055
Saint-gilles,49.2801594,3.6756348
Wachtebeke,51.1701927,3.8574284
Knokke-Heist Knokke,51.3433866,3.2884738
Plombières,50.7377318,5.9611134
Zaventem Sterrebeek,50.8613343,4.5124544
BIERGHES,50.6955911,4.1172805
Pepingen,50.7598483,4.1576993
Enghien,50.6928204,4.038373
SINT-KATHERINA-LOMBEEK,50.8726659,4.1535568
Sivry-rance,50.1676011,4.2118155
Ciply,50.4192687,3.9438128
Langdorp,50.9934543,4.8697373
Bruxelles ville,50.8465573,4.351697
Menen,50.7937353,3.1670406
Honnelles,50.352089,3.731019
Tournai,50.6056458,3.3878179
Eghezée,50.5917416,4.9049523
Wanfercée-Baulet,50.4723768,4.5891745
Wijnegem,51.2270761,4.5225318
Chastre,50.6082727,4.6385565
Pipaix,50.582865,3.575887
Ruisbroek,50.7900129,4.2980824
Grimbergen Strombeek-Bever,50.9083929,4.3516713
Strombeek-Bever,50.9083929,4.3516713
Zaventem Sint-Stevens-Woluwe,50.8692776,4.4528019
GrÃce-Hollogne Horion-Hozémont,50.6147852,5.3879109
WESTENDE,51.1587721,2.7683368
SINT-GILLIS-WAAS,51.2179895,4.1286101
Yvoir,50.3260425,4.877815
St-Vith,50.2803881,6.1258953
Brecht,49.9810924,6.4357583
Sint-Pieters-Woluwe,50.8370253,4.4274636
Muizen,51.0108505,4.5143485
Destelbergen,51.0556204,3.7978887
GREMBERGEN,51.0540034,4.1070284
Asse Zellik,50.8842475,4.2744185
Blanmont (Chastre),50.6219647,4.6399757
Estinnes-au-Val,50.4127908,4.1064835
NEUVILLERS,49.9012882,5.3540089
Messancy,49.5949862,5.8145736
REBECQ,50.6735582,4.1350276
Quaregnon,50.4350247,3.8643685
